Date,User Type,Total
2020-10-19,AS_NON-EDITING-TEACHERS,2539
2020-10-19,AS_STUDENT,19519
2020-10-19,AS_TEACHERS,5255
2020-12-30,AS_NON-EDITING-TEACHERS,89
2020-12-30,AS_STUDENT,4559
2020-12-30,AS_TEACHERS,1217
2020-12-24,AS_NON-EDITING-TEACHERS,209
2020-12-24,AS_STUDENT,2344
2020-12-24,AS_TEACHERS,836
2021-01-03,AS_NON-EDITING-TEACHERS,90
2021-01-03,AS_STUDENT,7614
2021-01-03,AS_TEACHERS,1640
2020-10-24,AS_NON-EDITING-TEACHERS,291
2020-10-24,AS_STUDENT,15094
2020-10-24,AS_TEACHERS,1181
2020-09-19,AS_NON-EDITING-TEACHERS,709
2020-09-19,AS_STUDENT,13821
2020-09-19,AS_TEACHERS,1304
2020-12-25,AS_NON-EDITING-TEACHERS,116
2020-12-25,AS_STUDENT,1498
2020-12-25,AS_TEACHERS,152
2020-12-31,AS_NON-EDITING-TEACHERS,31
2020-12-31,AS_STUDENT,2360
2020-12-31,AS_TEACHERS,227
2020-09-27,AS_NON-EDITING-TEACHERS,819
2020-09-27,AS_STUDENT,13810
2020-09-27,AS_TEACHERS,2832
2020-09-09,AS_NON-EDITING-TEACHERS,3316
2020-09-09,AS_STUDENT,71774
2020-09-09,AS_TEACHERS,14847
2021-01-02,AS_NON-EDITING-TEACHERS,408
2021-01-02,AS_STUDENT,7140
2021-01-02,AS_TEACHERS,632
2020-12-19,AS_NON-EDITING-TEACHERS,141
2020-12-19,AS_STUDENT,9767
2020-12-19,AS_TEACHERS,2511
2020-09-25,AS_NON-EDITING-TEACHERS,2521
2020-09-25,AS_STUDENT,21985
2020-09-25,AS_TEACHERS,5216
2020-10-30,AS_NON-EDITING-TEACHERS,1964
2020-10-30,AS_STUDENT,33292
2020-10-30,AS_TEACHERS,4928
2020-10-26,AS_NON-EDITING-TEACHERS,2670
2020-10-26,AS_STUDENT,25210
2020-10-26,AS_TEACHERS,6398
2020-12-28,AS_NON-EDITING-TEACHERS,179
2020-12-28,AS_STUDENT,4896
2020-12-28,AS_TEACHERS,488
2020-12-18,AS_NON-EDITING-TEACHERS,1269
2020-12-18,AS_STUDENT,21120
2020-12-18,AS_TEACHERS,4026
2020-09-26,AS_NON-EDITING-TEACHERS,2897
2020-09-26,AS_STUDENT,13954
2020-09-26,AS_TEACHERS,3002
2020-10-27,AS_NON-EDITING-TEACHERS,916
2020-10-27,AS_STUDENT,20735
2020-10-27,AS_TEACHERS,2379
2020-12-29,AS_NON-EDITING-TEACHERS,346
2020-12-29,AS_STUDENT,4988
2020-12-29,AS_TEACHERS,1038
2020-10-16,AS_NON-EDITING-TEACHERS,1495
2020-10-16,AS_STUDENT,15514
2020-10-16,AS_TEACHERS,3516
2020-09-17,AS_NON-EDITING-TEACHERS,1571
2020-09-17,AS_STUDENT,22342
2020-09-17,AS_TEACHERS,4635
2020-12-15,AS_NON-EDITING-TEACHERS,802
2020-12-15,AS_STUDENT,16541
2020-12-15,AS_TEACHERS,3646
2020-10-17,AS_NON-EDITING-TEACHERS,125
2020-10-17,AS_STUDENT,13482
2020-10-17,AS_TEACHERS,1513
2020-12-14,AS_NON-EDITING-TEACHERS,992
2020-12-14,AS_STUDENT,20678
2020-12-14,AS_TEACHERS,4899
2020-10-03,AS_NON-EDITING-TEACHERS,581
2020-10-03,AS_STUDENT,13498
2020-10-03,AS_TEACHERS,2052
2020-12-01,AS_NON-EDITING-TEACHERS,1120
2020-12-01,AS_STUDENT,18496
2020-12-01,AS_TEACHERS,8396
2020-10-02,AS_NON-EDITING-TEACHERS,1719
2020-10-02,AS_STUDENT,28373
2020-10-02,AS_TEACHERS,10048
2020-09-16,AS_NON-EDITING-TEACHERS,749
2020-09-16,AS_STUDENT,22905
2020-09-16,AS_TEACHERS,2983
2020-09-28,AS_NON-EDITING-TEACHERS,3334
2020-09-28,AS_STUDENT,23217
2020-09-28,AS_TEACHERS,5799
2020-10-15,AS_NON-EDITING-TEACHERS,1553
2020-10-15,AS_STUDENT,16377
2020-10-15,AS_TEACHERS,4202
2020-12-17,AS_NON-EDITING-TEACHERS,832
2020-12-17,AS_STUDENT,15142
2020-12-17,AS_TEACHERS,3479
2020-10-14,AS_NON-EDITING-TEACHERS,894
2020-10-14,AS_STUDENT,13869
2020-10-14,AS_TEACHERS,2438
2020-10-01,AS_NON-EDITING-TEACHERS,2323
2020-10-01,AS_STUDENT,21446
2020-10-01,AS_TEACHERS,9459
2020-12-03,AS_NON-EDITING-TEACHERS,1137
2020-12-03,AS_STUDENT,14892
2020-12-03,AS_TEACHERS,4787
2020-10-29,AS_NON-EDITING-TEACHERS,3876
2020-10-29,AS_STUDENT,24060
2020-10-29,AS_TEACHERS,5923
2020-09-14,AS_NON-EDITING-TEACHERS,6146
2020-09-14,AS_STUDENT,28711
2020-09-14,AS_TEACHERS,10017
2020-12-16,AS_NON-EDITING-TEACHERS,805
2020-12-16,AS_STUDENT,22720
2020-12-16,AS_TEACHERS,3438
2020-12-02,AS_NON-EDITING-TEACHERS,1527
2020-12-02,AS_STUDENT,23711
