Date,User Type,Component,Total
2020-11-20,AS_NON-EDITING-TEACHERS,Assignment,86
2020-11-20,AS_NON-EDITING-TEACHERS,File,3
2020-11-20,AS_NON-EDITING-TEACHERS,Grader report,1
2020-11-20,AS_NON-EDITING-TEACHERS,Quiz,3
2020-11-20,AS_NON-EDITING-TEACHERS,Submission comments,1
2020-11-20,AS_NON-EDITING-TEACHERS,System,57
2020-11-20,AS_NON-EDITING-TEACHERS,URL,2
2020-11-20,AS_STUDENT,Assignment,636
2020-11-20,AS_STUDENT,Book,2
2020-11-20,AS_STUDENT,File,119
2020-11-20,AS_STUDENT,File submissions,56
2020-11-20,AS_STUDENT,Folder,6
2020-11-20,AS_STUDENT,Forum,75
2020-11-20,AS_STUDENT,Grader report,1
2020-11-20,AS_STUDENT,Group choice,6
2020-11-20,AS_STUDENT,Lesson,179
2020-11-20,AS_STUDENT,Online text submissions,8
2020-11-20,AS_STUDENT,Open Forum,105
2020-11-20,AS_STUDENT,Page,48
2020-11-20,AS_STUDENT,Quiz,216
2020-11-20,AS_STUDENT,Submission comments,1
2020-11-20,AS_STUDENT,System,2847
2020-11-20,AS_STUDENT,URL,115
2020-11-20,AS_STUDENT,User report,25
2020-11-20,AS_STUDENT,User tours,6
2020-11-20,AS_TEACHERS,Assignment,181
2020-11-20,AS_TEACHERS,File,3
2020-11-20,AS_TEACHERS,Open Forum,12
2020-11-20,AS_TEACHERS,Quiz,60
2020-11-20,AS_TEACHERS,System,1024
2020-11-20,AS_TEACHERS,URL,7
2020-11-21,AS_NON-EDITING-TEACHERS,Assignment,61
2020-11-21,AS_NON-EDITING-TEACHERS,Quiz,1
2020-11-21,AS_NON-EDITING-TEACHERS,Submission comments,7
2020-11-21,AS_NON-EDITING-TEACHERS,System,79
2020-11-21,AS_STUDENT,Assignment,834
2020-11-21,AS_STUDENT,Book,6
2020-11-21,AS_STUDENT,External tool,1
2020-11-21,AS_STUDENT,File,212
2020-11-21,AS_STUDENT,File submissions,88
2020-11-21,AS_STUDENT,Folder,7
2020-11-21,AS_STUDENT,Forum,21
2020-11-21,AS_STUDENT,Group choice,2
2020-11-21,AS_STUDENT,Lesson,195
2020-11-21,AS_STUDENT,Online text submissions,10
2020-11-21,AS_STUDENT,Open Forum,112
2020-11-21,AS_STUDENT,Page,70
2020-11-21,AS_STUDENT,Quiz,352
2020-11-21,AS_STUDENT,Scheduler,4
2020-11-21,AS_STUDENT,Submission comments,7
2020-11-21,AS_STUDENT,System,3236
2020-11-21,AS_STUDENT,URL,191
2020-11-21,AS_STUDENT,User report,25
2020-11-21,AS_STUDENT,User tours,14
2020-11-21,AS_TEACHERS,Assignment,10
2020-11-21,AS_TEACHERS,Lesson,18
2020-11-21,AS_TEACHERS,Logs,2
2020-11-21,AS_TEACHERS,Open Forum,30
2020-11-21,AS_TEACHERS,Quiz,74
2020-11-21,AS_TEACHERS,Scheduler,42
2020-11-21,AS_TEACHERS,System,1532
2020-11-21,AS_TEACHERS,URL,1
2020-11-08,AS_NON-EDITING-TEACHERS,Assignment,301
2020-11-08,AS_NON-EDITING-TEACHERS,Excel spreadsheet,2
2020-11-08,AS_NON-EDITING-TEACHERS,File,2
2020-11-08,AS_NON-EDITING-TEACHERS,File submissions,2
2020-11-08,AS_NON-EDITING-TEACHERS,Forum,38
2020-11-08,AS_NON-EDITING-TEACHERS,Grader report,6
2020-11-08,AS_NON-EDITING-TEACHERS,Group choice,2
2020-11-08,AS_NON-EDITING-TEACHERS,Open Forum,2
2020-11-08,AS_NON-EDITING-TEACHERS,Single view,3
2020-11-08,AS_NON-EDITING-TEACHERS,Submission comments,24
2020-11-08,AS_NON-EDITING-TEACHERS,System,284
2020-11-08,AS_NON-EDITING-TEACHERS,URL,3
2020-11-08,AS_NON-EDITING-TEACHERS,User report,2
2020-11-08,AS_STUDENT,Assignment,2040
2020-11-08,AS_STUDENT,Book,40
2020-11-08,AS_STUDENT,Choice,1
2020-11-08,AS_STUDENT,Feedback,2
2020-11-08,AS_STUDENT,File,336
2020-11-08,AS_STUDENT,File submissions,218
2020-11-08,AS_STUDENT,Folder,1
2020-11-08,AS_STUDENT,Forum,143
2020-11-08,AS_STUDENT,Grader report,1
2020-11-08,AS_STUDENT,Group choice,10
2020-11-08,AS_STUDENT,Lesson,1178
2020-11-08,AS_STUDENT,Online text submissions,6
2020-11-08,AS_STUDENT,Open Forum,238
2020-11-08,AS_STUDENT,Overview report,10
2020-11-08,AS_STUDENT,Page,70
2020-11-08,AS_STUDENT,Quiz,698
2020-11-08,AS_STUDENT,Scheduler,1
2020-11-08,AS_STUDENT,Single view,3
2020-11-08,AS_STUDENT,Submission comments,26
2020-11-08,AS_STUDENT,System,6629
2020-11-08,AS_STUDENT,URL,427
2020-11-08,AS_STUDENT,User report,117
2020-11-08,AS_STUDENT,User tours,39
2020-11-08,AS_TEACHERS,Assignment,356
2020-11-08,AS_TEACHERS,Excel spreadsheet,3
2020-11-08,AS_TEACHERS,File,5
2020-11-08,AS_TEACHERS,Forum,41
2020-11-08,AS_TEACHERS,Grader report,20
2020-11-08,AS_TEACHERS,Group choice,2
2020-11-08,AS_TEACHERS,Lesson,2
2020-11-08,AS_TEACHERS,Logs,1
2020-11-08,AS_TEACHERS,Open Forum,21
2020-11-08,AS_TEACHERS,Page,1
2020-11-08,AS_TEACHERS,Quiz,712
2020-11-08,AS_TEACHERS,Single view,19
2020-11-08,AS_TEACHERS,Submission comments,22
2020-11-08,AS_TEACHERS,System,2891
2020-11-08,AS_TEACHERS,URL,6
2020-11-08,AS_TEACHERS,User report,15
2020-11-08,AS_TEACHERS,Workshop,15
2020-11-19,AS_NON-EDITING-TEACHERS,Assignment,100
2020-11-19,AS_NON-EDITING-TEACHERS,File,2
2020-11-19,AS_NON-EDITING-TEACHERS,Forum,8
2020-11-19,AS_NON-EDITING-TEACHERS,Open Forum,1
2020-11-19,AS_NON-EDITING-TEACHERS,Page,1
2020-11-19,AS_NON-EDITING-TEACHERS,Quiz,19
2020-11-19,AS_NON-EDITING-TEACHERS,Submission comments,8
2020-11-19,AS_NON-EDITING-TEACHERS,System,287
2020-11-19,AS_NON-EDITING-TEACHERS,URL,4
2020-11-19,AS_STUDENT,Assignment,661
2020-11-19,AS_STUDENT,Book,14
2020-11-19,AS_STUDENT,External tool,5
2020-11-19,AS_STUDENT,File,130
2020-11-19,AS_STUDENT,File submissions,42
2020-11-19,AS_STUDENT,Folder,4
2020-11-19,AS_STUDENT,Forum,54
2020-11-19,AS_STUDENT,Group choice,4
2020-11-19,AS_STUDENT,Lesson,220
2020-11-19,AS_STUDENT,Online text submissions,8
2020-11-19,AS_STUDENT,Open Forum,130
2020-11-19,AS_STUDENT,Overview report,3
2020-11-19,AS_STUDENT,Page,88
2020-11-19,AS_STUDENT,Quiz,53
2020-11-19,AS_STUDENT,Submission comments,8
2020-11-19,AS_STUDENT,System,2069
2020-11-19,AS_STUDENT,URL,108
2020-11-19,AS_STUDENT,User report,16
2020-11-19,AS_STUDENT,User tours,15
2020-11-19,AS_TEACHERS,Assignment,154
2020-11-19,AS_TEACHERS,Excel spreadsheet,1
2020-11-19,AS_TEACHERS,File,3
2020-11-19,AS_TEACHERS,Forum,78
2020-11-19,AS_TEACHERS,Grader report,1
2020-11-19,AS_TEACHERS,Open Forum,10
2020-11-19,AS_TEACHERS,OpenDocument spreadsheet,1
2020-11-19,AS_TEACHERS,Page,1
2020-11-19,AS_TEACHERS,Quiz,89
2020-11-19,AS_TEACHERS,System,486
2020-11-19,AS_TEACHERS,URL,2
2020-11-18,AS_NON-EDITING-TEACHERS,Assignment,43
2020-11-18,AS_NON-EDITING-TEACHERS,Forum,13
2020-11-18,AS_NON-EDITING-TEACHERS,Grader report,3
2020-11-18,AS_NON-EDITING-TEACHERS,Group choice,2
2020-11-18,AS_NON-EDITING-TEACHERS,Open Forum,10
2020-11-18,AS_NON-EDITING-TEACHERS,Page,2
2020-11-18,AS_NON-EDITING-TEACHERS,Quiz,2
2020-11-18,AS_NON-EDITING-TEACHERS,Single view,3
2020-11-18,AS_NON-EDITING-TEACHERS,System,250
2020-11-18,AS_NON-EDITING-TEACHERS,User report,3
2020-11-18,AS_STUDENT,Assignment,680
2020-11-18,AS_STUDENT,Book,36
2020-11-18,AS_STUDENT,External tool,2
2020-11-18,AS_STUDENT,File,120
2020-11-18,AS_STUDENT,File submissions,58
2020-11-18,AS_STUDENT,Folder,4
2020-11-18,AS_STUDENT,Forum,67
2020-11-18,AS_STUDENT,Grader report,3
2020-11-18,AS_STUDENT,Group choice,6
2020-11-18,AS_STUDENT,Lesson,191
2020-11-18,AS_STUDENT,Online text submissions,2
2020-11-18,AS_STUDENT,Open Forum,115
2020-11-18,AS_STUDENT,Overview report,2
2020-11-18,AS_STUDENT,Page,55
2020-11-18,AS_STUDENT,Questionnaire,2
2020-11-18,AS_STUDENT,Quiz,43
2020-11-18,AS_STUDENT,Single view,3
2020-11-18,AS_STUDENT,System,1982
2020-11-18,AS_STUDENT,URL,107
2020-11-18,AS_STUDENT,User report,23
2020-11-18,AS_STUDENT,User tours,4
2020-11-18,AS_TEACHERS,Assignment,85
2020-11-18,AS_TEACHERS,External tool,1
2020-11-18,AS_TEACHERS,Forum,16
2020-11-18,AS_TEACHERS,Grader report,1
2020-11-18,AS_TEACHERS,Group choice,2
2020-11-18,AS_TEACHERS,Open Forum,56
2020-11-18,AS_TEACHERS,Page,2
2020-11-18,AS_TEACHERS,Quiz,86
2020-11-18,AS_TEACHERS,Scheduler,2
2020-11-18,AS_TEACHERS,Single view,3
2020-11-18,AS_TEACHERS,System,1090
2020-11-18,AS_TEACHERS,URL,6
2020-11-22,AS_NON-EDITING-TEACHERS,Assignment,214
2020-11-22,AS_NON-EDITING-TEACHERS,File submissions,2
2020-11-22,AS_NON-EDITING-TEACHERS,Forum,17
2020-11-22,AS_NON-EDITING-TEACHERS,Grader report,9
2020-11-22,AS_NON-EDITING-TEACHERS,Logs,2
2020-11-22,AS_NON-EDITING-TEACHERS,Online text submissions,2
2020-11-22,AS_NON-EDITING-TEACHERS,Quiz,5
2020-11-22,AS_NON-EDITING-TEACHERS,Single view,7
2020-11-22,AS_NON-EDITING-TEACHERS,Submission comments,22
2020-11-22,AS_NON-EDITING-TEACHERS,System,675
2020-11-22,AS_NON-EDITING-TEACHERS,URL,17
2020-11-22,AS_STUDENT,Assignment,1015
2020-11-22,AS_STUDENT,Book,4
2020-11-22,AS_STUDENT,External tool,3
2020-11-22,AS_STUDENT,File,165
2020-11-22,AS_STUDENT,File submissions,56
2020-11-22,AS_STUDENT,Folder,2
2020-11-22,AS_STUDENT,Forum,194
2020-11-22,AS_STUDENT,Grader report,9
2020-11-22,AS_STUDENT,Group choice,1
2020-11-22,AS_STUDENT,Lesson,213
2020-11-22,AS_STUDENT,Logs,2
2020-11-22,AS_STUDENT,Online text submissions,14
2020-11-22,AS_STUDENT,Open Forum,139
2020-11-22,AS_STUDENT,Page,56
2020-11-22,AS_STUDENT,Quiz,601
2020-11-22,AS_STUDENT,Scheduler,4
2020-11-22,AS_STUDENT,Single view,7
2020-11-22,AS_STUDENT,Submission comments,22
2020-11-22,AS_STUDENT,System,4725
2020-11-22,AS_STUDENT,URL,126
2020-11-22,AS_STUDENT,User report,25
2020-11-22,AS_STUDENT,User tours,3
2020-11-22,AS_TEACHERS,Assignment,26
2020-11-22,AS_TEACHERS,Excel spreadsheet,1
2020-11-22,AS_TEACHERS,File,1
2020-11-22,AS_TEACHERS,Forum,17
2020-11-22,AS_TEACHERS,Grader report,3
2020-11-22,AS_TEACHERS,Logs,2
2020-11-22,AS_TEACHERS,Open Forum,64
2020-11-22,AS_TEACHERS,Quiz,72
2020-11-22,AS_TEACHERS,Single view,7
2020-11-22,AS_TEACHERS,System,1911
2020-11-22,AS_TEACHERS,URL,16
2020-11-30,AS_NON-EDITING-TEACHERS,Assignment,180
2020-11-30,AS_NON-EDITING-TEACHERS,File,2
2020-11-30,AS_NON-EDITING-TEACHERS,File submissions,8
2020-11-30,AS_NON-EDITING-TEACHERS,Forum,11
2020-11-30,AS_NON-EDITING-TEACHERS,Grader report,4
2020-11-30,AS_NON-EDITING-TEACHERS,Open Forum,4
2020-11-30,AS_NON-EDITING-TEACHERS,Page,2
2020-11-30,AS_NON-EDITING-TEACHERS,Quiz,189
2020-11-30,AS_NON-EDITING-TEACHERS,Single view,7
2020-11-30,AS_NON-EDITING-TEACHERS,Submission comments,7
2020-11-30,AS_NON-EDITING-TEACHERS,System,801
2020-11-30,AS_NON-EDITING-TEACHERS,URL,3
2020-11-30,AS_NON-EDITING-TEACHERS,User report,1
2020-11-30,AS_STUDENT,Assignment,1201
2020-11-30,AS_STUDENT,Book,4
2020-11-30,AS_STUDENT,External tool,14
2020-11-30,AS_STUDENT,File,134
2020-11-30,AS_STUDENT,File submissions,82
2020-11-30,AS_STUDENT,Folder,15
2020-11-30,AS_STUDENT,Forum,165
2020-11-30,AS_STUDENT,Grader report,4
2020-11-30,AS_STUDENT,Lesson,144
2020-11-30,AS_STUDENT,Online text submissions,2
2020-11-30,AS_STUDENT,Open Forum,141
2020-11-30,AS_STUDENT,Overview report,3
2020-11-30,AS_STUDENT,Page,41
2020-11-30,AS_STUDENT,Quiz,1032
2020-11-30,AS_STUDENT,Scheduler,1
2020-11-30,AS_STUDENT,Single view,7
2020-11-30,AS_STUDENT,Submission comments,13
2020-11-30,AS_STUDENT,System,5906
2020-11-30,AS_STUDENT,URL,326
2020-11-30,AS_STUDENT,User report,73
2020-11-30,AS_STUDENT,User tours,46
2020-11-30,AS_TEACHERS,Assignment,118
2020-11-30,AS_TEACHERS,File,4
2020-11-30,AS_TEACHERS,Forum,11
2020-11-30,AS_TEACHERS,Grader report,6
2020-11-30,AS_TEACHERS,Logs,1
2020-11-30,AS_TEACHERS,Open Forum,29
2020-11-30,AS_TEACHERS,Page,6
2020-11-30,AS_TEACHERS,Quiz,331
2020-11-30,AS_TEACHERS,Single view,10
2020-11-30,AS_TEACHERS,Submission comments,7
2020-11-30,AS_TEACHERS,System,3940
2020-11-30,AS_TEACHERS,URL,5
2020-11-27,AS_NON-EDITING-TEACHERS,Assignment,56
2020-11-27,AS_NON-EDITING-TEACHERS,Forum,7
2020-11-27,AS_NON-EDITING-TEACHERS,Grader report,2
2020-11-27,AS_NON-EDITING-TEACHERS,Open Forum,12
2020-11-27,AS_NON-EDITING-TEACHERS,Page,1
2020-11-27,AS_NON-EDITING-TEACHERS,Quiz,22
2020-11-27,AS_NON-EDITING-TEACHERS,System,650
2020-11-27,AS_NON-EDITING-TEACHERS,URL,9
2020-11-27,AS_STUDENT,Assignment,1315
2020-11-27,AS_STUDENT,Book,78
2020-11-27,AS_STUDENT,External tool,2
2020-11-27,AS_STUDENT,Feedback,3
2020-11-27,AS_STUDENT,File,289
2020-11-27,AS_STUDENT,File submissions,152
2020-11-27,AS_STUDENT,Folder,34
2020-11-27,AS_STUDENT,Forum,115
2020-11-27,AS_STUDENT,Grader report,2
2020-11-27,AS_STUDENT,Group choice,6
2020-11-27,AS_STUDENT,Lesson,108
2020-11-27,AS_STUDENT,Online text submissions,18
2020-11-27,AS_STUDENT,Open Forum,203
2020-11-27,AS_STUDENT,Page,61
2020-11-27,AS_STUDENT,Quiz,2760
2020-11-27,AS_STUDENT,Scheduler,6
2020-11-27,AS_STUDENT,Submission comments,1
2020-11-27,AS_STUDENT,System,7150
2020-11-27,AS_STUDENT,URL,617
2020-11-27,AS_STUDENT,User report,50
2020-11-27,AS_STUDENT,User tours,29
2020-11-27,AS_STUDENT,Workshop,1
2020-11-27,AS_TEACHERS,Activity report,1
2020-11-27,AS_TEACHERS,Assignment,100
2020-11-27,AS_TEACHERS,External tool,12
2020-11-27,AS_TEACHERS,File,13
2020-11-27,AS_TEACHERS,Folder,5
2020-11-27,AS_TEACHERS,Forum,9
2020-11-27,AS_TEACHERS,Grader report,9
2020-11-27,AS_TEACHERS,Lesson,20
2020-11-27,AS_TEACHERS,Open Forum,39
2020-11-27,AS_TEACHERS,Overview report,1
2020-11-27,AS_TEACHERS,Page,1
2020-11-27,AS_TEACHERS,Quiz,188
2020-11-27,AS_TEACHERS,System,3877
2020-11-27,AS_TEACHERS,URL,6
2020-11-24,AS_NON-EDITING-TEACHERS,Assignment,195
2020-11-24,AS_NON-EDITING-TEACHERS,Book,1
2020-11-24,AS_NON-EDITING-TEACHERS,Forum,6
2020-11-24,AS_NON-EDITING-TEACHERS,Open Forum,12
2020-11-24,AS_NON-EDITING-TEACHERS,Quiz,22
2020-11-24,AS_NON-EDITING-TEACHERS,System,569
2020-11-24,AS_NON-EDITING-TEACHERS,URL,8
2020-11-24,AS_NON-EDITING-TEACHERS,User report,1
2020-11-24,AS_STUDENT,Assignment,1754
2020-11-24,AS_STUDENT,Book,45
2020-11-24,AS_STUDENT,External tool,4
2020-11-24,AS_STUDENT,Feedback,2
2020-11-24,AS_STUDENT,File,385
2020-11-24,AS_STUDENT,File submissions,164
2020-11-24,AS_STUDENT,Folder,16
2020-11-24,AS_STUDENT,Forum,165
2020-11-24,AS_STUDENT,Group choice,1
2020-11-24,AS_STUDENT,Lesson,62
2020-11-24,AS_STUDENT,Online text submissions,4
2020-11-24,AS_STUDENT,Open Forum,259
2020-11-24,AS_STUDENT,Overview report,3
2020-11-24,AS_STUDENT,Page,84
2020-11-24,AS_STUDENT,Questionnaire,1
2020-11-24,AS_STUDENT,Quiz,2260
2020-11-24,AS_STUDENT,Scheduler,13
2020-11-24,AS_STUDENT,System,6983
2020-11-24,AS_STUDENT,URL,510
2020-11-24,AS_STUDENT,User report,55
2020-11-24,AS_STUDENT,User tours,32
2020-11-24,AS_TEACHERS,Activity report,1
2020-11-24,AS_TEACHERS,Assignment,356
2020-11-24,AS_TEACHERS,Book,1
2020-11-24,AS_TEACHERS,File,4
2020-11-24,AS_TEACHERS,Forum,9
2020-11-24,AS_TEACHERS,Open Forum,29
2020-11-24,AS_TEACHERS,Page,2
2020-11-24,AS_TEACHERS,Quiz,635
2020-11-24,AS_TEACHERS,System,2868
2020-11-24,AS_TEACHERS,URL,13
2020-11-25,AS_NON-EDITING-TEACHERS,Assignment,58
2020-11-25,AS_NON-EDITING-TEACHERS,File,6
2020-11-25,AS_NON-EDITING-TEACHERS,Forum,29
2020-11-25,AS_NON-EDITING-TEACHERS,Open Forum,27
2020-11-25,AS_NON-EDITING-TEACHERS,Quiz,11
2020-11-25,AS_NON-EDITING-TEACHERS,System,1067
2020-11-25,AS_NON-EDITING-TEACHERS,URL,17
2020-11-25,AS_NON-EDITING-TEACHERS,User report,1
2020-11-25,AS_STUDENT,Assignment,1448
2020-11-25,AS_STUDENT,Book,68
2020-11-25,AS_STUDENT,External tool,10
2020-11-25,AS_STUDENT,File,218
2020-11-25,AS_STUDENT,File submissions,134
2020-11-25,AS_STUDENT,Folder,13
2020-11-25,AS_STUDENT,Forum,200
2020-11-25,AS_STUDENT,Group choice,3
2020-11-25,AS_STUDENT,Lesson,64
2020-11-25,AS_STUDENT,Online text submissions,16
2020-11-25,AS_STUDENT,Open Forum,193
2020-11-25,AS_STUDENT,Overview report,5
2020-11-25,AS_STUDENT,Page,77
2020-11-25,AS_STUDENT,Quiz,2032
2020-11-25,AS_STUDENT,Submission comments,8
2020-11-25,AS_STUDENT,System,7952
2020-11-25,AS_STUDENT,URL,494
2020-11-25,AS_STUDENT,User report,69
2020-11-25,AS_TEACHERS,Assignment,136
2020-11-25,AS_TEACHERS,Book,1
2020-11-25,AS_TEACHERS,Excel spreadsheet,3
2020-11-25,AS_TEACHERS,File,6
2020-11-25,AS_TEACHERS,Forum,53
2020-11-25,AS_TEACHERS,Grader report,3
2020-11-25,AS_TEACHERS,Lesson,40
2020-11-25,AS_TEACHERS,Logs,6
2020-11-25,AS_TEACHERS,Open Forum,28
2020-11-25,AS_TEACHERS,Page,1
2020-11-25,AS_TEACHERS,Quiz,354
2020-11-25,AS_TEACHERS,Submission comments,2
2020-11-25,AS_TEACHERS,System,4225
2020-11-25,AS_TEACHERS,URL,26
2020-11-26,AS_NON-EDITING-TEACHERS,Assignment,135
2020-11-26,AS_NON-EDITING-TEACHERS,File,1
2020-11-26,AS_NON-EDITING-TEACHERS,File submissions,2
2020-11-26,AS_NON-EDITING-TEACHERS,Forum,1
2020-11-26,AS_NON-EDITING-TEACHERS,Grader report,1
2020-11-26,AS_NON-EDITING-TEACHERS,Online text submissions,2
2020-11-26,AS_NON-EDITING-TEACHERS,Open Forum,14
2020-11-26,AS_NON-EDITING-TEACHERS,Overview report,1
2020-11-26,AS_NON-EDITING-TEACHERS,Page,1
2020-11-26,AS_NON-EDITING-TEACHERS,Quiz,229
2020-11-26,AS_NON-EDITING-TEACHERS,Submission comments,1
2020-11-26,AS_NON-EDITING-TEACHERS,System,1598
2020-11-26,AS_NON-EDITING-TEACHERS,URL,13
2020-11-26,AS_NON-EDITING-TEACHERS,User report,4
2020-11-26,AS_STUDENT,Assignment,1699
2020-11-26,AS_STUDENT,Book,65
2020-11-26,AS_STUDENT,External tool,9
2020-11-26,AS_STUDENT,File,370
2020-11-26,AS_STUDENT,File submissions,178
2020-11-26,AS_STUDENT,Folder,25
2020-11-26,AS_STUDENT,Forum,145
2020-11-26,AS_STUDENT,Grader report,1
2020-11-26,AS_STUDENT,Group choice,4
2020-11-26,AS_STUDENT,Lesson,264
2020-11-26,AS_STUDENT,Online text submissions,50
2020-11-26,AS_STUDENT,Open Forum,322
2020-11-26,AS_STUDENT,Overview report,3
2020-11-26,AS_STUDENT,Page,86
2020-11-26,AS_STUDENT,Quiz,1056
2020-11-26,AS_STUDENT,Submission comments,2
2020-11-26,AS_STUDENT,System,8588
2020-11-26,AS_STUDENT,URL,697
2020-11-26,AS_STUDENT,User report,38
2020-11-26,AS_STUDENT,User tours,39
2020-11-26,AS_TEACHERS,Assignment,263
2020-11-26,AS_TEACHERS,Book,1
2020-11-26,AS_TEACHERS,Excel spreadsheet,1
2020-11-26,AS_TEACHERS,External tool,2
2020-11-26,AS_TEACHERS,File,1
2020-11-26,AS_TEACHERS,Forum,1
2020-11-26,AS_TEACHERS,Grader report,1
2020-11-26,AS_TEACHERS,Lesson,24
2020-11-26,AS_TEACHERS,Logs,2
2020-11-26,AS_TEACHERS,Open Forum,50
2020-11-26,AS_TEACHERS,Overview report,1
2020-11-26,AS_TEACHERS,Page,1
2020-11-26,AS_TEACHERS,Quiz,853
2020-11-26,AS_TEACHERS,Submission comments,63
2020-11-26,AS_TEACHERS,System,6332
2020-11-26,AS_TEACHERS,URL,15
2020-11-26,AS_TEACHERS,User report,1
2020-11-26,AS_TEACHERS,User tours,3
2020-11-23,AS_NON-EDITING-TEACHERS,Assignment,49
2020-11-23,AS_NON-EDITING-TEACHERS,Book,5
2020-11-23,AS_NON-EDITING-TEACHERS,File,1
2020-11-23,AS_NON-EDITING-TEACHERS,Forum,21
2020-11-23,AS_NON-EDITING-TEACHERS,Grader report,2
2020-11-23,AS_NON-EDITING-TEACHERS,Group choice,2
2020-11-23,AS_NON-EDITING-TEACHERS,Open Forum,83
2020-11-23,AS_NON-EDITING-TEACHERS,Overview report,1
2020-11-23,AS_NON-EDITING-TEACHERS,Page,1
2020-11-23,AS_NON-EDITING-TEACHERS,Quiz,90
2020-11-23,AS_NON-EDITING-TEACHERS,Single view,2
2020-11-23,AS_NON-EDITING-TEACHERS,System,844
2020-11-23,AS_NON-EDITING-TEACHERS,URL,16
2020-11-23,AS_NON-EDITING-TEACHERS,User report,1
2020-11-23,AS_STUDENT,Assignment,1872
2020-11-23,AS_STUDENT,Book,72
2020-11-23,AS_STUDENT,Book printing,1
2020-11-23,AS_STUDENT,External tool,39
2020-11-23,AS_STUDENT,Feedback,3
2020-11-23,AS_STUDENT,File,437
2020-11-23,AS_STUDENT,File submissions,186
2020-11-23,AS_STUDENT,Folder,4
2020-11-23,AS_STUDENT,Forum,254
2020-11-23,AS_STUDENT,Grader report,2
2020-11-23,AS_STUDENT,Group choice,9
2020-11-23,AS_STUDENT,Lesson,316
2020-11-23,AS_STUDENT,Online text submissions,56
2020-11-23,AS_STUDENT,Open Forum,479
2020-11-23,AS_STUDENT,Overview report,8
2020-11-23,AS_STUDENT,Page,137
2020-11-23,AS_STUDENT,Quiz,6110
2020-11-23,AS_STUDENT,Scheduler,8
2020-11-23,AS_STUDENT,Single view,2
2020-11-23,AS_STUDENT,Submission comments,7
2020-11-23,AS_STUDENT,System,8556
2020-11-23,AS_STUDENT,URL,499
2020-11-23,AS_STUDENT,User report,71
2020-11-23,AS_STUDENT,User tours,64
2020-11-23,AS_STUDENT,Workshop,1
2020-11-23,AS_TEACHERS,Assignment,118
2020-11-23,AS_TEACHERS,Book,5
2020-11-23,AS_TEACHERS,External tool,1
2020-11-23,AS_TEACHERS,File,1
2020-11-23,AS_TEACHERS,Forum,21
2020-11-23,AS_TEACHERS,Grader report,7
2020-11-23,AS_TEACHERS,Group choice,2
2020-11-23,AS_TEACHERS,Open Forum,110
2020-11-23,AS_TEACHERS,Overview report,3
2020-11-23,AS_TEACHERS,Page,1
2020-11-23,AS_TEACHERS,Quiz,94
2020-11-23,AS_TEACHERS,Scheduler,43
2020-11-23,AS_TEACHERS,Single view,2
2020-11-23,AS_TEACHERS,Submission comments,1
2020-11-23,AS_TEACHERS,System,2621
2020-11-23,AS_TEACHERS,URL,11
2020-11-23,AS_TEACHERS,User tours,6
2020-09-22,AS_NON-EDITING-TEACHERS,Assignment,88
2020-09-22,AS_NON-EDITING-TEACHERS,Choice,3
2020-09-22,AS_NON-EDITING-TEACHERS,File,8
2020-09-22,AS_NON-EDITING-TEACHERS,Folder,2
2020-09-22,AS_NON-EDITING-TEACHERS,Forum,35
2020-09-22,AS_NON-EDITING-TEACHERS,Open Forum,33
2020-09-22,AS_NON-EDITING-TEACHERS,Page,5
2020-09-22,AS_NON-EDITING-TEACHERS,Questionnaire,3
2020-09-22,AS_NON-EDITING-TEACHERS,Quiz,40
2020-09-22,AS_NON-EDITING-TEACHERS,System,998
2020-09-22,AS_NON-EDITING-TEACHERS,URL,10
2020-09-22,AS_NON-EDITING-TEACHERS,Workshop,1
2020-09-22,AS_STUDENT,Assignment,3340
2020-09-22,AS_STUDENT,Book,10
2020-09-22,AS_STUDENT,Choice,16
2020-09-22,AS_STUDENT,External tool,3
2020-09-22,AS_STUDENT,File,650
2020-09-22,AS_STUDENT,File submissions,374
2020-09-22,AS_STUDENT,Folder,18
2020-09-22,AS_STUDENT,Forum,346
2020-09-22,AS_STUDENT,Group choice,7
2020-09-22,AS_STUDENT,Online text submissions,132
2020-09-22,AS_STUDENT,Open Forum,948
2020-09-22,AS_STUDENT,Overview report,4
2020-09-22,AS_STUDENT,Page,197
2020-09-22,AS_STUDENT,Questionnaire,4
2020-09-22,AS_STUDENT,Quiz,1949
2020-09-22,AS_STUDENT,Scheduler,36
2020-09-22,AS_STUDENT,Submission comments,4
2020-09-22,AS_STUDENT,System,12608
2020-09-22,AS_STUDENT,URL,777
2020-09-22,AS_STUDENT,User report,43
2020-09-22,AS_STUDENT,User tours,19
2020-09-22,AS_STUDENT,Workshop,26
2020-09-22,AS_TEACHERS,Activity report,1
2020-09-22,AS_TEACHERS,Assignment,300
2020-09-22,AS_TEACHERS,Choice,3
2020-09-22,AS_TEACHERS,Course participation,13
2020-09-22,AS_TEACHERS,External tool,5
2020-09-22,AS_TEACHERS,File,5
2020-09-22,AS_TEACHERS,Folder,2
2020-09-22,AS_TEACHERS,Forum,37
2020-09-22,AS_TEACHERS,Open Forum,58
2020-09-22,AS_TEACHERS,Page,19
2020-09-22,AS_TEACHERS,Questionnaire,5
2020-09-22,AS_TEACHERS,Quiz,64
